Title: The Chandra Cosmos Survey, I: Overview and Point Source Catalog 
Authors: Elvis M., Civano F., Vignali C., Puccetti S., Fiore F., Cappelluti N.,
         Aldcroft T.L., Fruscione A., Zamorani G., Comastri A., Brusa M., 
	 Gilli R., Miyaji T., Damiani F., Koekemoer A.M., Finoguenov A., 
         Brunner H., Urry C.M., Silverman J., Mainieri V., Hasinger G., 
	 Griffiths R., Carollo M., Hao H., Guzzo L., Blain A., Calzetti D., 
	 Carilli C., Capak P., Ettori S., Fabbiano G., Impey C., Lilly S., 
	 Mobasher B., Rich M., Salvato M., Sanders D.B., Schinnerer E., 
	 Scoville N., Shopbell P., Taylor J.E., Taniguchi Y., Volonteri M. 
Table: C-COSMOS Bright Source Catalog
================================================================================
Byte-by-byte Description of file: apjs297970_datafile7.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 21 A21    ---     Name    Chandra-COSMOS source name
  23- 27 I5     ---     ID      Source identification
  29- 38 F10.6  deg     RAdeg   Right Ascension in decimal degrees (J2000)
  40- 47 F8.6   deg     DEdeg   Declination in decimal degrees (J2000)
  49- 52 F4.2   deg     PosErr  Positional uncertainty
  54- 62 E9.2   ct/s    FRate   Full 0.5-7 keV count rate (1)
  64- 71 E8.2   ct/s  e_FRate   Error in FRate
  73- 81 E9.2   mW/m2   FFlux   Full 0.5-10 keV flux; {gamma}=1.4 in erg/s/cm^2^ (1)
  83- 90 E8.2   mW/m2 e_FFlux   Error in FFlux
  92- 97 F6.2   ---     FSNR    Full 0.5-7 keV signal-to-noise (1)
  99-104 F6.2   ks      FExp    Full 0.5-7 keV exposure time (1)
 106-111 F6.1   ct      FctsA   Full 0.5-7 keV aperture photometry net counts
 113-117 F5.1   ct      eFctsA  Error in FctsA (1)
 119-124 F6.2   ks      FExpA   Full 0.5-7 keV exposure time from aperture photometry
 126-134 E9.2   ct/s    SRate   Soft 0.5-2 keV count rate (1)
 136-143 E8.2   ct/s  e_SRate   Error in SRate
 145-153 E9.2   mW/m2   SFlux   Soft 0.5-2 keV flux; {gamma}=1.4 in erg/s/cm^2^ (1)
 155-162 E8.2   mW/m2 e_SFlux   Error in SFlux
 164-169 F6.2   ---     SSNR    Soft 0.5-2 keV signal-to-noise (1)
 171-176 F6.2   ks      SExp    Soft 0.5-2 keV exposure time (1)
 178-183 F6.1   ct      SctsA   Soft 0.5-2 keV aperture photometry net counts
 185-189 F5.1   ct      eSctA   Error in SctA (1)
 191-196 F6.2   ks      SExpA   Soft 0.5-2 keV exposure time from aperture
                                 photometry
 198-206 E9.2   ct/s    HRate   Hard 2-7 keV count rate (1)
 208-215 E8.2   ct/s  e_HRate   Error in HRate
 217-225 E9.2   mW/m2   HFlux   Hard 2-10 keV flux; {gamma}=1.4 in erg/s/cm^2^ (1)
 227-234 E8.2   mW/m2 e_HFlux   Error in HFlux
 236-241 F6.2   ---     HSNR    Hard 2-7 keV signal-to-noise (1)
 243-248 F6.2   ks      HExp    Hard 2-7 keV exposure time (1)
 250-255 F6.1   ct      HctsA   Hard 2-7 keV aperture photometry net counts
 257-261 F5.1   ct      eHctA   Error in HctA (1)
 263-268 F6.2   ks      HExpA   Hard 2-7 keV exposure time from aperture photometry
 270-275 F6.2   ---     HR      Hardness ratio; (H-S)/(H+S) (1)
 277-282 F6.2   ---     upHR    The 90% lower limit on HR (1)
 284-289 F6.2   ---     lowHR   The 90% upper limit on HR (1)
--------------------------------------------------------------------------------
Note (1): A -99 indicates a NULL value.  In cases where the main value is -99
          but its error is not -99 the given error value represents the 
	  90% upper limit.
--------------------------------------------------------------------------------
CXOC J100040.9+021307    20 150.17046  2.2188   0.2   5.21E-04 5.64E-05  7.03E-15 7.61E-16   9.24 243.91  108.4  13.4 152.9   2.45E-04 3.62E-05  1.34E-15 1.98E-16   6.77 238.32   47.4   8.9 149.74  2.67E-04 4.47E-05  7.01E-15 1.17E-15   5.99 255.48   65.4  11.  159.73   0.02  -0.13   0.17 
CXOC J100051.5+021215    21 150.21464  2.204334 0.11  1.92E-03 9.83E-05  2.59E-14 1.32E-15  19.62 197.38  447.6  24.  199.03  1.25E-03 7.79E-05  6.82E-15 4.25E-16  16.05 194.06  293.4  19.4 196.54  6.08E-04 5.84E-05  1.60E-14 1.53E-15  10.46 204.1   159.4  15.3 204.24  -0.33  -0.42  -0.25 
CXOC J100049.5+021709    22 150.20626  2.285839 0.14  1.88E-03 9.79E-05  2.54E-14 1.32E-15  19.24 207.21  477.8  25.3 230.05  1.23E-03 7.67E-05  6.73E-15 4.18E-16  16.1  203.73  308.5  20.1 226.52  7.18E-04 6.43E-05  1.89E-14 1.69E-15  11.18 214.26  170.9  16.4 237.3   -0.25  -0.33  -0.17 
CXOC J100053.7+021614    23 150.22391  2.2708   0.41  4.04E-04 5.12E-05  5.45E-15 6.90E-16   7.9  165.75   28.3   7.   80.24  2.59E-04 3.94E-05  1.41E-15 2.15E-16   6.56 163.78   19.4   5.9  79.94  1.67E-04 3.47E-05  4.39E-15 9.11E-16   4.82 169.61    8.7   4.6  80.99  -0.25  -0.43  -0.03 
CXOC J100054.7+021611    24 150.22799  2.269833 0.31  4.32E-04 5.33E-05  5.83E-15 7.18E-16   8.12 167.84   42.9   8.3  85.57  2.46E-04 3.86E-05  1.34E-15 2.10E-16   6.38 165.86   25.9   6.6  85.17  2.00E-04 3.81E-05  5.24E-15 1.00E-15   5.24 171.89   16.6   5.8  86.38  -0.14  -0.33   0.06 
CXOC J100055.3+021520    25 150.23057  2.255563 0.58  2.12E-04 4.27E-05  2.85E-15 5.75E-16   4.96 167.1    38.3   8.9 168.36  1.21E-04 2.92E-05  6.60E-16 1.59E-16   4.15 165.21   25.1   6.8 167.01  7.76E-05 3.10E-05  2.04E-15 8.14E-16   2.51 170.78   13.2   6.5 171.19  -0.3   -0.61   0.03 
CXOC J100056.6+021721    26 150.2362   2.289173 0.23  4.81E-04 5.53E-05  6.48E-15 7.45E-16   8.7  164.79  100.5  12.1 166.4   3.92E-04 4.79E-05  2.14E-15 2.61E-16   8.2  162.74   76.6  10.5 164.89  1.08E-04 3.05E-05  2.82E-15 7.99E-16   3.53 168.83   22.9   7.  169.61  -0.58  -0.73  -0.39 
CXOC J100100.0+021252    28 150.25017  2.214593 0.21  6.37E-04 6.47E-05  8.59E-15 8.71E-16   9.86 159.69  123.9  13.4 158.76  1.22E-04 2.96E-05  6.67E-16 1.61E-16   4.14 157.71   24.7   6.7 157.36  5.16E-04 5.78E-05  1.35E-14 1.52E-15   8.88 163.59   99.7  12.1 161.69   0.55   0.42   0.68 
CXOC J100100.5+021542    29 150.25228  2.261923 0.47  5.88E-04 6.06E-05  7.92E-15 8.17E-16   9.69 166.78  105.4  12.5 169.73  4.43E-04 5.06E-05  2.42E-15 2.76E-16   8.77 164.95   80.1  10.7 168.46  1.08E-04 3.15E-05  2.83E-15 8.27E-16   3.42 169.24   22.9   7.2 172.38  -0.62  -0.79  -0.47 
CXOC J100105.3+021348    31 150.27207  2.230126 0.16  2.22E-03 1.12E-04  2.99E-14 1.51E-15  19.8  164.81  372.7  21.8 164.2   1.41E-03 8.92E-05  7.71E-15 4.86E-16  15.86 162.72  244.8  17.7 162.74  7.06E-04 6.45E-05  1.85E-14 1.69E-15  10.95 168.93  135.3  13.8 167.18  -0.32  -0.41  -0.24 
