#Column XID	(I7)		XID sequential number (1)	[meta.id;meta.main]
#Column XMMU	(A)		IAU Name (JHHMMSS.s+DDMMSS)	[meta.id]
#Column ePos	(F5.2)		Positional error (arcsec)	[stat.error]
#Column S.5-2	(F6.2)		? Flux in 0.5-2keV band (3)	[phot.count;em.X-ray]
#Column Ct.5-2	(I4)		Counts in 0.5-2keV band	[phot.count;em.X-ray]
#Column L.5-2	(F8.2)		? 0.5-2keV band detection likelihood	[stat.likelihood]
#Column S2-10	(F6.2)		? Flux in 2-10keV band (3)	[phot.count;em.X-ray]
#Column Ct2-10	(I4)		Counts in 2-10keV band	[phot.count;em.X-ray]
#Column L2-10	(F8.2)		? 2-10keV band detection likelihood	[stat.likelihood]
#Column S5-10	(F6.2)		? Flux in 5-10keV band (3)	[phot.count;em.X-ray]
#Column Ct5-10	(I4)		Counts in 5-10keV band	[phot.count;em.X-ray]
#Column L5-10	(F8.2)		? 5-10keV band detection likelihood	[stat.likelihood]
#Column XMMC	(A4)		Details from Hasinger et al. 2007, Cat. J/ApJS/172/29	[meta.ref.url]
#Column RAJ2000	(F10.6)		Right Ascension J2000 (degrees)	[pos.eq.ra;meta.main]
#Column DEJ2000	(F10.6)		Declination J2000 (degrees)	[pos.eq.dec;meta.main]
XID,XMMU,ePos,S.5-2,Ct.5-2,L.5-2,S2-10,Ct2-10,L2-10,S5-10,Ct5-10,L5-10,XMMC,RAJ2000,DEJ2000
,,arcsec,10-17W/m2,ct,,10-17W/m2,ct,,10-17W/m2,ct,,,deg,deg
1,J100025.2+015850,0.91,13.9,6585,21523.6,22.8,2210,4907.39,12.2,625,900.04,XMMC,150.105148,1.980817
2,J095857.4+021313,0.93,10.5,3875,10997.1,21.1,1588,3025.7,10.7,406,475.59,XMMC,149.73919,2.220533
3,J095902.7+021906,0.9,15.0,8621,24524.9,25.8,2924,5132.74,14.2,783,874.38,XMMC,149.761543,2.318492
4,J095858.6+021458,0.97,7.84,2561,6838.14,15.9,1066,1797.82,9.56,317,359.37,XMMC,149.744181,2.249476
5,J095918.7+020951,0.93,7.28,4014,10945.7,14.8,1645,2852.41,7.54,433,457.84,XMMC,149.82819,2.164208
6,J100043.1+020636,0.96,3.82,2966,6275.14,6.08,922,998.0,2.87,214,96.6,XMMC,150.179776,2.110154
7,J100205.0+023730,0.91,9.66,5673,15117.2,18.9,2197,3494.22,10.1,561,494.73,XMMC,150.521077,2.625247
8,J100012.9+023522,0.98,5.78,2669,6651.5,5.4,490,535.94,1.94,88,32.45,XMMC,150.05383,2.58967
9,J095940.7+021938,1.0,2.83,1905,3579.35,4.7,617,601.44,2.22,144,51.55,XMMC,149.919828,2.327475
10,J095939.0+021201,1.03,2.72,1333,2763.96,2.21,220,195.79,1.09,55,14.53,XMMC,149.912607,2.200321
11,J100034.8+020234,1.04,2.05,1307,2411.44,2.89,362,332.76,1.72,110,46.34,XMMC,150.145317,2.042825
12,J100049.8+020459,1.03,2.22,1594,2915.84,2.4,340,207.47,-0.61,0,,XMMC,150.207765,2.083162
13,J100002.2+021631,1.03,2.11,1371,2288.04,2.9,369,287.04,1.1,69,15.3,XMMC,150.00932,2.275307
14,J100118.5+022739,1.03,2.46,1024,2004.94,4.94,430,539.38,2.34,103,61.17,XMMC,150.327292,2.46085
15,J100159.7+022641,1.01,3.11,1522,3305.96,5.8,567,765.08,3.39,170,123.67,XMMC,150.499007,2.444985
16,J100153.2+022437,1.05,2.14,1114,2040.39,3.51,370,356.42,1.86,96,40.67,XMMC,150.471935,2.410327
17,J095924.4+015954,0.97,4.37,2554,5958.98,6.1,705,814.66,2.85,170,110.64,XMMC,149.852004,1.998348
18,J100031.9+021811,1.04,1.8,1098,1918.38,6.03,722,849.91,3.44,214,137.34,XMMC,150.133028,2.303236
19,J095958.4+021530,1.13,1.49,748,821.62,2.82,280,232.51,1.1,55,11.47,XMMC,149.993671,2.258589
20,J100058.7+022556,1.09,1.51,862,1475.05,2.3,257,206.81,1.28,73,25.79,XMMC,150.244637,2.432327
21,J100055.3+023441,1.04,1.68,1281,1938.82,2.92,434,297.66,1.53,112,30.14,XMMC,150.230771,2.578229
22,J100046.6+020404,1.05,1.75,1274,1994.07,1.75,250,146.61,-0.67,58,9.34,XMMC,150.194579,2.067873
23,J095909.5+021916,0.98,3.69,2158,4172.35,5.53,644,619.5,2.76,156,70.86,XMMC,149.789839,2.321191
24,J100024.6+023149,1.08,2.42,1131,2192.67,2.76,257,214.97,1.01,48,11.59,XMMC,150.102567,2.530383
25,J100024.4+020619,1.1,1.38,737,1217.26,2.53,269,226.53,1.64,89,36.65,XMMC,150.102062,2.105347
26,J100135.9+024118,1.13,1.23,583,910.32,3.08,296,279.27,1.01,49,11.84,XMMC,150.399649,2.688338
27,J100113.9+022547,1.09,1.81,903,1434.77,2.79,283,226.68,1.37,68,18.3,XMMC,150.307994,2.429963
28,J100113.3+023607,1.07,1.37,796,1186.44,3.26,377,308.79,1.41,82,23.35,XMMC,150.305619,2.602049
30,J095949.4+020140,1.11,1.46,940,1454.97,1.56,196,114.14,-0.61,43,8.5,XMMC,149.955983,2.027961
31,J095946.9+022209,1.04,1.74,1297,2096.72,2.79,404,294.2,1.27,89,17.05,XMMC,149.945597,2.369221
32,J095926.2+021529,1.14,1.09,643,971.74,2.69,312,246.28,1.37,83,29.02,XMMC,149.859221,2.258144
33,J100114.2+022356,1.06,1.56,971,1539.63,2.69,336,260.84,1.47,91,36.09,XMMC,150.309575,2.399083
34,J095958.5+021805,1.11,1.22,885,1118.22,2.15,302,176.66,1.34,92,20.55,XMMC,149.99376,2.301442
35,J095928.3+022107,1.14,1.27,719,1163.88,1.38,153,76.68,-1.37,0,,XMMC,149.86812,2.351989
37,J095940.0+022306,1.07,1.44,1066,1651.1,2.41,347,263.57,1.2,88,26.36,XMMC,149.91698,2.385118
38,J100058.8+015359,1.05,1.71,1199,1809.48,2.73,376,231.19,-1.18,67,9.24,XMMC,150.245126,1.899753
39,J100159.4+023934,1.1,2.31,1077,1809.35,3.68,341,249.32,1.72,78,19.64,XMMC,150.497618,2.659684
40,J100114.7+020208,1.02,2.14,1377,2421.11,3.83,488,408.01,2.16,137,53.29,XMMC,150.311658,2.035748
41,J100025.3+020734,1.17,0.82,433,563.84,2.72,289,271.18,1.78,97,44.31,XMMC,150.105662,2.126228
42,J100202.7+022434,1.07,1.7,1059,1706.14,2.46,303,198.07,1.1,66,11.44,XMMC,150.511523,2.409563
43,J095920.2+021831,1.15,1.09,508,751.21,2.68,247,236.79,1.05,50,16.35,XMMC,149.834184,2.30867
44,J100051.4+021215,1.12,1.2,670,1023.6,2.12,236,171.8,1.1,63,15.65,XMMC,150.214529,2.204232
45,J100120.6+022600,1.23,0.54,321,333.23,2.09,251,214.5,1.38,86,34.75,XMMC,150.335989,2.433593
47,J100116.2+023606,1.14,1.2,667,938.57,2.16,238,164.66,1.05,59,13.26,XMMC,150.317898,2.601891
48,J095905.1+021529,1.1,1.37,690,978.65,3.42,342,297.98,2.43,122,51.3,XMMC,149.77153,2.258199
49,J100017.4+020011,1.18,1.01,555,740.19,1.83,203,143.77,1.02,57,12.47,XMMC,150.072853,2.003149
50,J095934.0+021706,1.14,0.93,598,756.33,2.3,290,206.48,1.58,101,31.08,XMMC,149.891973,2.285042
51,J100014.1+020053,1.15,1.04,670,851.21,1.73,220,132.76,1.1,70,20.21,XMMC,150.058859,2.014971
52,J100016.2+015103,1.15,1.14,581,829.17,1.91,194,99.87,-1.74,50,6.43,XMMC,150.067831,1.85098
53,J100115.2+024811,1.09,1.69,638,1060.68,2.2,167,112.77,1.25,47,13.63,XMMC,150.313705,2.803162
